seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT17-02-DPM,0.5355120498874467,0.8421127920408127,0.45096154750221673,0.5355120498874467,0.5347463868809115,0.5336841947299377,0.5316608385452852,0.529227673538659,0.5262198395510315,0.5215619311037124,0.5187868750824668,0.5148857364975806,0.5099266181870756,0.5053122756561399,0.49773189599448825,0.482902558785919,0.46585923976429766,0.44353047565484244,0.39956509257832806,0.3325379121549502,0.22029544365366732,0.06766500874430866,0.45640063405216036,0.5498338870431894,0.5488379565170826,0.5474292440211866,0.5443720632208457,0.5413269384492406,0.536495962600935,0.5303174603174603,0.5272468053648749,0.5217025306466039,0.5142931937172774,0.506955660918043,0.49782496116002073,0.48178697679184385,0.4596517789553369,0.4307692307692308,0.37984828968083584,0.29880102384480667,0.1778384101645219,0.04486832123116939,0.45474740502181604,0.5215632618004303,0.521016622277452,0.5202842610533224,0.5192464241648685,0.5173988407846514,0.516140546882525,0.5129509554782377,0.5104626884776969,0.508158013571602,0.5055971168046437,0.5036742177144093,0.49763884822688814,0.4840207239199407,0.47215053048855293,0.45666976372320356,0.4203053364838743,0.3700839495041622,0.27288864340200725,0.10204423260629397,0.45959447249288227,0.5522307733706474,0.5515849523707013,0.5506700392874442,0.5486787578709434,0.5466874764544427,0.543512189871374,0.5394219902050482,0.5373768903718853,0.5336634196221948,0.5286583068726118,0.5236531941230289,0.5173564393735536,0.5061083902911576,0.4901781389591518,0.4686507722942791,0.4285022334642915,0.3581077444701577,0.2350250255637479,0.06684247349442979,0.4751004846490048,0.9921678592148521,0.9910075420614968,0.9893637594275768,0.9857861148713982,0.9822084703152195,0.9765035776445562,0.9691549023399729,0.9654805646876813,0.9588087410558886,0.9498162831173854,0.9408238251788822,0.9295107329336685,0.9093018758460646,0.8806807193966351,0.84200348095146,0.7698704312512087,0.6433958615354863,0.4222587507251982,0.12009282537226842,0.8535913851540473,0.6082039709079898,0.607664226238968,0.6066385178448758,0.6051519691318831,0.6033372886833317,0.6022445246878766,0.5988088553637356,0.596715129700135,0.5945995110060784,0.5923287658447892,0.5903180565546784,0.5858309050415991,0.5750466368783634,0.5643200031952504,0.5502312240573326,0.5200104910295089,0.47295149169602085,0.37115298308320865,0.16471166695227496,0.5479087483104158,0.7251383962079564,0.724428494441708,0.7237545427859343,0.7228629591889985,0.7212329340494528,0.72007414950899,0.7176660516003867,0.7158057214462159,0.7133922410867499,0.7104628271767883,0.7082033412503864,0.7029792895927646,0.6914902833094208,0.6799725100896757,0.6656756359261656,0.6292662643606651,0.5687233984723705,0.4482380066917034,0.20204769950774246,0.6574428814049513,0.8421127920408127,0.8430140440763827,0.8441946914155536,0.8466136560574905,0.8488709993426774,0.8522009906468507,0.8561932040938142,0.8580102122069001,0.860998089798728,0.8646741840587909,0.8679199816277006,0.8714472867901334,0.8769240424642307,0.8834735444194987,0.8907399675404203,0.9013295024215031,0.9159324960602552,0.9361466917575648,0.9641736539083603,0.8749984226698772,0.536678007212676,0.5360829495360322,0.5352615757504661,0.5337597615404417,0.5318415803498397,0.5296495812492725,0.526019985629493,0.5237469352511929,0.5207545902160083,0.5169991448054988,0.5135665613175845,0.5074018748611588,0.4949413596080671,0.4810798980870591,0.4626214839934753,0.4243839952452268,0.3640466019914803,0.25325019327063353,0.08258867303235737,0.4670881448919981,10261.0,10249.0,10232.0,10195.0,10158.0,10099.0,10023.0,9985.0,9916.0,9823.0,9730.0,9613.0,9404.0,9108.0,8708.0,7962.0,6654.0,4367.0,1242.0,8827.842105263158,8320.0,8332.0,8349.0,8386.0,8423.0,8482.0,8558.0,8596.0,8665.0,8758.0,8851.0,8968.0,9177.0,9473.0,9873.0,10619.0,11927.0,14214.0,17339.0,9753.157894736842,81.0,93.0,110.0,147.0,184.0,243.0,319.0,357.0,426.0,519.0,612.0,729.0,938.0,1234.0,1634.0,2380.0,3688.0,5975.0,9100.0,1514.157894736842,0.5267746622894355,0.8610431231869097,0.5300037672891663,0.5432969162047253,0.9761168052601045,0.3225806451612903,0.3709677419354839,0.3064516129032258,0.4512798196314436,0.6980603671818276,0.4116666666666667,0.5299080700042847,8692.230328571854,10095,8486,247,60,20,23,19,120.0,600,0.5234588389862739,0.4074054141327162,0.7319667375749371,7570,11011,2772,10342,18581,39,62
MOT17-09-SDP,0.6792485759846528,0.8598517060380261,0.5840530468843035,0.6792485759846528,0.6791809431916264,0.6787724720669659,0.6762997671062478,0.6690248506988672,0.665342442582477,0.6605480151313236,0.6553232617159308,0.6532222057497696,0.6512071880201535,0.6477166690366088,0.6396364743523967,0.6194779993357339,0.6016874681495958,0.5716803226868837,0.5012147729345447,0.3866749882423083,0.24834644101778533,0.07349555384785401,0.5767421269395646,0.8462544367644311,0.845909600298842,0.8452203136669156,0.8424683072334079,0.8339209500835034,0.8288304959289415,0.8210797862539156,0.8140602055800293,0.8104048360505587,0.806764168190128,0.8018231540565178,0.7903985507246377,0.7635617416131335,0.7378231053279409,0.7030846114078925,0.6140780663073657,0.45745465270609054,0.2613911933631142,0.06612729234088457,0.7100344983104342,0.5452008378723704,0.5453144797407481,0.545102929243446,0.5429063278237319,0.5367346279138596,0.5341026519607807,0.531402291955827,0.5275390866699082,0.526526041187116,0.5256440710306508,0.5232286960352708,0.5176310343014536,0.5025827916027725,0.49067019820063784,0.46483507965412824,0.4090949708047144,0.32684670632971485,0.2359526882779197,0.08168482700845682,0.4691052809270267,0.8507042253521127,0.8505164319248826,0.8501408450704225,0.8486384976525821,0.843943661971831,0.8411267605633803,0.8368075117370892,0.8328638497652582,0.8307981220657277,0.8287323943661972,0.8259154929577465,0.8193427230046948,0.8035680751173709,0.787981220657277,0.7661971830985915,0.7061032863849765,0.5825352112676057,0.38460093896713615,0.11511737089201877,0.7476649369903633,0.9938569548047389,0.9936375603334796,0.9931987713909609,0.9914436156208863,0.9859587538394032,0.9826678367705134,0.9776217639315489,0.9730144800351032,0.9706011408512506,0.9681878016673979,0.9648968845985081,0.9572180781044317,0.9387889425186485,0.9205792014041246,0.895129442738043,0.8249232119350592,0.6805616498464239,0.4493198771390961,0.13448881088196576,0.8734786725479781,0.6738207315503452,0.6739564429784929,0.6738734161879747,0.6724925623640905,0.6680014009322985,0.6655609477444199,0.662933636063046,0.6601098288866346,0.6594959476189893,0.658836897659916,0.6567550154554032,0.6517629094799462,0.6392191018223883,0.6281020517655208,0.6086949890617949,0.5609556820304422,0.4818813413938464,0.36595482014391834,0.14386826335096722,0.6003303150784439,0.724545549668275,0.7246922442089163,0.7246365898653927,0.7227159673650632,0.7177673156806331,0.7158081588839218,0.7134836262796087,0.7105444483574729,0.7086528601288931,0.7077882213689505,0.7057726423278327,0.7018703967524182,0.6895305377235933,0.6794341129609048,0.6584181549758429,0.607530181867347,0.5197154354750744,0.3907036321218286,0.16602144404535027,0.6468227115819642,0.8598517060380261,0.8600297459441604,0.8603542226463143,0.8615669995102319,0.8650827787702693,0.867061753954698,0.8698743203714662,0.8722482245904247,0.8733634013245734,0.874353113529398,0.8755500866188726,0.8779146468784939,0.882922568565581,0.8870614476247589,0.8916337858262762,0.9013093925675952,0.917029054429325,0.937396023121211,0.9638128151447701,0.8841271624977076,0.6810320524347864,0.6810278449418017,0.6807453745104597,0.678771839729973,0.6730332736118705,0.6702596761346172,0.6668443818935134,0.6628485759398959,0.6613900862856639,0.660013840437931,0.657375605278755,0.6512428281035343,0.6354993992407504,0.6218029444432429,0.5967875071048342,0.5374600481233697,0.4363481581534423,0.30124346542872577,0.09697083338294518,0.5921419860621112,4530.0,4529.0,4527.0,4519.0,4494.0,4479.0,4456.0,4435.0,4424.0,4413.0,4398.0,4363.0,4279.0,4196.0,4080.0,3760.0,3102.0,2048.0,613.0,3981.315789473684,795.0,796.0,798.0,806.0,831.0,846.0,869.0,890.0,901.0,912.0,927.0,962.0,1046.0,1129.0,1245.0,1565.0,2223.0,3277.0,4712.0,1343.6842105263158,28.0,29.0,31.0,39.0,64.0,79.0,102.0,123.0,134.0,145.0,160.0,195.0,279.0,362.0,478.0,798.0,1456.0,2510.0,3945.0,576.6842105263158,0.8272300469483568,0.8746618821612087,0.8315492957746479,0.8437558685446009,0.9857393593681439,0.7307692307692307,0.23076923076923078,0.038461538461538464,0.7214752744695418,0.909238085601538,0.12380952380952381,0.8312935722373676,3929.8558365503104,4493,832,65,23,19,6,1,43.0,525,0.6918951735303046,0.6420657276995305,0.7501096972356297,3419,1906,1139,4558,5325,23,26
MOT17-13-FRCNN,0.7086131483480279,0.8327877927740966,0.5901243797434577,0.7086131483480279,0.7083999831270386,0.707820792872032,0.7070285002445226,0.7059736586268125,0.7052848582855241,0.7046064520746764,0.703404074908027,0.7018371152773236,0.6993156594711099,0.69448495478182,0.6866229002308698,0.6693424257960119,0.6379953887808397,0.5741441067364379,0.4728554526867816,0.322916968501073,0.14295232141412686,0.022756061516231198,0.5934923591410152,0.7292554097802011,0.7283719346049047,0.7267545725223309,0.725726917190954,0.7239680652284695,0.7227974876930912,0.7216284987277354,0.7198779867819014,0.717258883248731,0.7137791286727457,0.7081545064377682,0.6975830057706782,0.676273845899744,0.6385211494995157,0.5603044046429395,0.4384522712777266,0.2764432146899761,0.11435629975295086,0.015356910609774399,0.5976244470016915,0.6885551855735261,0.6889756623676057,0.6893802856762866,0.6888118496319842,0.6884265074836454,0.6881965416266713,0.6879859279124417,0.6873071571601175,0.686746930410592,0.6851452668430853,0.6810792673543361,0.6758349948628689,0.6624820487836927,0.6374700609755192,0.5883256539991866,0.5099580816038063,0.37720357384378234,0.17869908559331918,0.03372021553611855,0.5907528577493993,0.7352688541487716,0.7347534787837141,0.7338086239477754,0.7332073526885415,0.7321766019584264,0.7314894348050163,0.7308022676516063,0.7297715169214911,0.7282253908263185,0.7261638893660883,0.7228139494932142,0.7164576533241711,0.7034014774093799,0.6794365229342038,0.6260951726507473,0.5314378972685105,0.3775983507988318,0.1789211475691462,0.02637003951211132,0.625168401160951,0.988909426987061,0.9882162661737524,0.9869454713493531,0.9861367837338263,0.9847504621072088,0.9838262476894639,0.982902033271719,0.9815157116451017,0.9794362292051756,0.9766635859519408,0.9721580406654344,0.9636090573012939,0.9460489833641405,0.9138170055452866,0.8420748613678374,0.714764325323475,0.5078558225508318,0.24064232902033272,0.03546672828096118,0.840828387975484,0.8419525421797085,0.8423608776940356,0.8426079602384992,0.842066632079449,0.8416142270806495,0.8411612273244745,0.841038126006252,0.8404635864011049,0.840361162873812,0.8385362110523251,0.8353104647547552,0.8302086201499475,0.8188229997074816,0.7984623562849158,0.7490761155752829,0.6668001356275007,0.5325259261180586,0.2975198122604404,0.06601519685373154,0.7372054831717065,0.7874208197477018,0.7878876796220179,0.7884573787856725,0.7881412808802222,0.78793121769059,0.7878434095961926,0.7876710102578168,0.7870559163053239,0.7868265999242741,0.7860295496448316,0.7830657362311783,0.7786201527566144,0.7688025961382098,0.7488978353456252,0.7109978445952683,0.646203060151052,0.5229045434302145,0.2957642088760845,0.06495315191038178,0.694498631152067,0.8327877927740966,0.8333103683002068,0.8342323392018268,0.8347688270275165,0.8356381900468808,0.8361652833456914,0.8366457664152276,0.8372954854244395,0.8381636155403859,0.839176069513534,0.8406197280652898,0.8429418757005767,0.8469203711209674,0.8528889300579717,0.8634902362241291,0.8788800016741426,0.9000958718966333,0.9274219997912754,0.9609771256350578,0.8564431514608343,0.7115287642216872,0.7114964966336179,0.711247635362565,0.7106630092872183,0.7099646335892251,0.7095128605383137,0.7090709951978059,0.7082211424913384,0.7071821206712087,0.7053564714040279,0.7016363696063171,0.6958499511056995,0.6826352260700017,0.6581188659382601,0.6069166762542322,0.5205872170756888,0.3774009107021836,0.17881008210924165,0.029819514014221563,0.607685207488045,8560.0,8554.0,8543.0,8536.0,8524.0,8516.0,8508.0,8496.0,8478.0,8454.0,8415.0,8341.0,8189.0,7910.0,7289.0,6187.0,4396.0,2083.0,307.0,7278.210526315789,3082.0,3088.0,3099.0,3106.0,3118.0,3126.0,3134.0,3146.0,3164.0,3188.0,3227.0,3301.0,3453.0,3732.0,4353.0,5455.0,7246.0,9559.0,11335.0,4363.789473684211,96.0,102.0,113.0,120.0,132.0,140.0,148.0,160.0,178.0,202.0,241.0,315.0,467.0,746.0,1367.0,2469.0,4260.0,6573.0,8349.0,1377.7894736842106,0.7168012369008762,0.838348714874612,0.7182614671018726,0.7308881635457826,0.9830175600739371,0.5272727272727272,0.2545454545454545,0.21818181818181817,0.5986522259807657,0.8384077248990048,0.196,0.7181557765915325,7133.509214868074,8509,3133,147,17,58,28,24,35.0,750,0.7055867573159917,0.6151004981961862,0.8272874306839186,7161,4481,1495,8656,11642,70,110
COMBINED,0.6193703537391128,0.8421357155423452,0.5215938960318032,0.6193703537391128,0.6189252798833793,0.6181573144901396,0.6164931796273139,0.6138018270830343,0.6115029651701429,0.6082610113133127,0.6056905500037585,0.6029216229364397,0.5992976118367119,0.5947628436097041,0.5870858125924271,0.5707221653596394,0.5485552262569254,0.5102659711877282,0.44177363865885794,0.33797063491294904,0.20112938476486217,0.05733167328690846,0.5244220561428077,0.6531200179005957,0.6522419769652242,0.6508574939947489,0.6484632119149886,0.6450679136049877,0.6413218550402666,0.6364592851011989,0.6332485906930474,0.6288375682081243,0.6231119898939969,0.6165859795957441,0.6066545246962242,0.5874516544907606,0.5598838743731855,0.5144387219104722,0.434737225391431,0.31482470190425343,0.167924752005691,0.0379684591338555,0.5396420945694104,0.5873646873112688,0.5873104087244965,0.5871000472197747,0.5860993091722536,0.5840511905560049,0.5830705338872301,0.5813120596159828,0.5793317944258686,0.5780737376110442,0.5763933825351133,0.5737121047913348,0.5681483238254921,0.5544690997851612,0.5374558011528224,0.5061270667674738,0.4489239393708796,0.36281825845482885,0.24089974189463745,0.08656976966826527,0.5110121714089437,0.6568864633734669,0.6563519747946439,0.6555080454596601,0.6540452346123551,0.6519635422527287,0.64965680207044,0.6466467874423315,0.6446494880162035,0.64189265218859,0.638291887025993,0.634156633284573,0.6277990322943625,0.6152807471587712,0.5967705637447958,0.5647856419489141,0.5037976820074266,0.39810959828963655,0.2390570496230449,0.06081917407449083,0.5650773157717066,0.9912973340125658,0.9904907454576328,0.9892171845814229,0.9870096790626592,0.9838682289013415,0.9803871625063678,0.9758447953812193,0.9728307013075225,0.9686704024452368,0.9632365427067414,0.9569960944133129,0.9474019358125318,0.9285107828154185,0.9005773475972152,0.8523093903888606,0.7602733910680931,0.6007811173374087,0.3607573442010528,0.09178128714552555,0.8527495509022174,0.706620813689703,0.7065769900894718,0.7062119163157338,0.7052214617657225,0.7035130370154681,0.7026259613607581,0.7008938015255948,0.699352692059341,0.698494204673804,0.6969977005069604,0.6947318816999135,0.6900570939148007,0.6788724695732762,0.6642396547810008,0.6343031758176826,0.5793181826533452,0.49341429606868425,0.35185153185662676,0.14478714210127844,0.6293728424983772,0.7478548516349387,0.7477451579393961,0.7476473140104846,0.7468006580235756,0.7450921712261691,0.7442369470708216,0.7427656862211737,0.7412031690537568,0.7397578065555451,0.7380978221664247,0.7356742563859927,0.7310333443576182,0.7200530475007703,0.7055659959208361,0.6806551177567067,0.6305539010450276,0.5437486678347977,0.39699850092928424,0.17236586754158328,0.6714658043776265,0.8421357155423452,0.8427594097188374,0.8436816806405036,0.845171363518268,0.8471476333740128,0.8491699555502531,0.8516103291803326,0.853085847840394,0.8549113804213994,0.8570563812993457,0.8592177489179232,0.8620577388297233,0.8668640401122598,0.8727792171945338,0.8810285309234878,0.8935696791943764,0.9112535619334583,0.9343092120290365,0.9636174428343619,0.8700750983713081,0.6211536944737281,0.6208722465884369,0.6203618334829349,0.6191409049430556,0.6170738068106735,0.61546384006429,0.6131097584055895,0.6111186011472279,0.6091479989261429,0.6065535588945402,0.6031776992305659,0.5972294097725831,0.5840840367552133,0.5663371799925206,0.534652504260467,0.47557001593108417,0.38005451072918134,0.2399766270958175,0.07256102184398178,0.5372441710183176,23351.0,23332.0,23302.0,23250.0,23176.0,23094.0,22987.0,22916.0,22818.0,22690.0,22543.0,22317.0,21872.0,21214.0,20077.0,17909.0,14152.0,8498.0,2162.0,20087.36842105263,12197.0,12216.0,12246.0,12298.0,12372.0,12454.0,12561.0,12632.0,12730.0,12858.0,13005.0,13231.0,13676.0,14334.0,15471.0,17639.0,21396.0,27050.0,33386.0,15460.631578947368,205.0,224.0,254.0,306.0,380.0,462.0,569.0,640.0,738.0,866.0,1013.0,1239.0,1684.0,2342.0,3479.0,5647.0,9404.0,15058.0,21394.0,3468.6315789473683,0.634015978395409,0.8553316612542857,0.636829076178688,0.6497411950039383,0.9805145185939887,0.4898989898989899,0.2878787878787879,0.2222222222222222,0.5400189990995341,0.7815714672441797,0.2448,0.6367728142230223,19755.595379990238,23097,12451,459,100,97,57,44,198.0,1875,0.6141716296697347,0.5105772476651288,0.7705043301069792,18150,17398,5406,23556,35548,132,198
